,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,value of product
6278,lynchburg,9300,2011.0,toyota,avalon limited,good,6 cylinders,gas,145000.0,clean,automatic,4wd,sedan,silver,2
6279,lynchburg,2400,2004.0,ford,SCION XA HATCHBACK,good,4 cylinders,gas,171678.0,clean,automatic,fwd,hatchback,grey,3
6280,lynchburg,19475,2017.0,toyota,prius,like new,4 cylinders,hybrid,99185.07784431137,clean,automatic,fwd,hatchback,white,3
6281,lynchburg,6495,2014.0,ford,focus se,excellent,4 cylinders,gas,126740.0,clean,automatic,fwd,sedan,white,3
6282,lynchburg,6500,2006.0,toyota,4runner,good,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
6283,lynchburg,6495,2008.0,toyota,sienna le,good,6 cylinders,gas,139734.0,clean,automatic,fwd,mini-van,green,3
6284,lynchburg,12801,2014.0,ford,escape,excellent,4 cylinders,gas,87784.0,clean,automatic,4wd,SUV,black,1
6285,lynchburg,12108,2013.0,bmw,5 series,excellent,4 cylinders,gas,93022.0,clean,automatic,4wd,sedan,black,1
6286,lynchburg,7000,1997.0,jeep,cherokee country,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
6287,lynchburg,15900,2009.0,ford,f350 super duty,good,8 cylinders,diesel,99185.07784431137,clean,automatic,4wd,pickup,black,1
6288,lynchburg,7900,2011.0,honda,accord ex-l,excellent,4 cylinders,gas,102449.0,clean,automatic,4wd,sedan,white,2
6289,lynchburg,2400,2004.0,ford,SCION XA HATCHBACK,good,4 cylinders,gas,171678.0,clean,automatic,fwd,hatchback,grey,3
6290,lynchburg,3995,2006.0,gmc,sierra,good,6 cylinders,gas,175753.0,clean,automatic,rwd,truck,white,2
6291,lynchburg,3700,2005.0,volvo,xc70,good,5 cylinders,gas,151427.0,clean,automatic,4wd,hatchback,silver,2
6292,lynchburg,5995,2010.0,dodge,nitro,good,6 cylinders,gas,120307.0,clean,automatic,4wd,SUV,black,1
